requirement,implementation,verification_entry,status
bounded_authenticated_request,MC_Protocol+MC_Requests+MC_Signatures,run_ingress_tests+run_v2_tests,WRITTEN_NOT_RUN
no_duplicate_effect,MC_Gate+State_Executor,replay_negative_tests_and_live_timeout_campaign,PARTIAL_TESTS_WRITTEN
no_unknown_preimage_overwrite,Pkg_File_Engine,run_file_engine_tests_and_fault_campaign,WRITTEN_NOT_RUN
partial_tail_preserved,MC_Log+MC_Gate.Repair_Ledger,implementation_review_and_future_powerloss_campaign,WRITTEN_NOT_RUN
terminal_receipt_reconciliation,Pkg_File_Engine.Resume_Recorded,run_file_engine_tests,WRITTEN_NOT_RUN
configuration_conflict_blocks,State_Config_Merge,run_v2_state_tests,WRITTEN_NOT_RUN
maintenance_budget,State_Budget+State_Coordinator,run_v2_state_tests_and_etcd_partition_campaign,UNIT_WRITTEN_CLUSTER_NOT_RUN
versioned_connectors,State_Unit+State_Pacemaker+MC_JSON,cross-repository_and_site_version_matrix,PARTIAL_TESTS_WRITTEN
no_untrusted_shell,MC_Command,pinned_elf_source_review_and_native_qualification,SOURCE_REVIEW_ONLY
native_rpm_auth, Pkg_RPM_Auth+Pkg_Archive,real_signed_rpm_negative_corpus,NOT_RUN
formal_proof,pure_SPARK_sources,GNATprove_flow_and_prove,NOT_RUN
